Device Line,Base Part,Orderable Part Number,Status,Material Type,Package | Pins,Package Qty | Carrier,RoHS,Lead Finish / Ball Material,MSL Rating / Peak Reflow,Op Temp (C),Part Marking
AM62x,AM6252,AM6252ASGFHIAMCRQ1,Active,Production,FCBGA (AMC) | 441,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM6252A SGFHIAMCQ1 131
AM62x,AM6252,AM6252ASGFHIAMCRQ1.B,Active,Production,FCBGA (AMC) | 441,500 | LARGE T&R,Yes,Call TI,Level-3-250C-168 HR,-40 to 125,AM6252A SGFHIAMCQ1 131
AM62x,AM6252,AM6252ASGGHAALWR,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6252A SGGHAALW 131
AM62x,AM6252,AM6252ATCGGAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6252A TCGGAALW 131
AM62x,AM6252,AM6252ATCGGAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6252A TCGGAALW 131
AM62x,AM6252,AM6252ATCGHAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6252A TCGHAALW 131
AM62x,AM6252,AM6252ATCGHAALW.B,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6252A TCGHAALW 131
AM62x,AM6252,AM6252ATGGHAALWR,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6252A TGGHAALW 131
AM62x,AM6252,AM6252ATGGHAALWR.B,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6252A TGGHAALW 131
AM62x,AM6252,AM6252BSGFHIAMCRQ1,Active,Production,FCBGA (AMC) | 441,500 | LARGE T&R,-,Call TI,Level-3-250C-168 HR,-40 to 125,52BSGFHI Q1
AM62x,AM6252,AM6252BTCFHIALWRQ1,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,52BTCFHI
AM62x,AM6252,AM6252BTGFHIALWRQ1,Active,Production,FCCSP (ALW) | 425,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,52BTGFHI
AM62x,AM6252,AM6252BTGFHIAMCRQ1,Active,Production,FCBGA (AMC) | 441,500 | LARGE T&R,-,Call TI,Level-3-250C-168 HR,-40 to 125,52BTGFHI Q1
AM62x,AM6254,AM6254ASGGHAALW,Active,Production,FCCSP (ALW) | 425,119 | JEDEC TRAY (10+1),Yes,Call TI,Level-3-260C-168 HR,-40 to 105,AM6254A SGGHAALW 131
